Spacecraft: DefaultSC

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
01 Jul 2027 09:28:59.558    01 Jul 2027 09:29:08.881      9.3224112759    Earth           Penumbra    1             2052.4800439
01 Jul 2027 09:29:08.881    01 Jul 2027 10:03:02.616      2033.7351747    Earth           Umbra       1             2052.4800439
01 Jul 2027 10:03:02.616    01 Jul 2027 10:03:12.038      9.4224578817    Earth           Penumbra    1             2052.4800439
01 Jul 2027 11:05:27.436    01 Jul 2027 11:05:36.759      9.3226539320    Earth           Penumbra    2             2052.4527029
01 Jul 2027 11:05:36.759    01 Jul 2027 11:39:30.466      2033.7071816    Earth           Umbra       2             2052.4527029
01 Jul 2027 11:39:30.466    01 Jul 2027 11:39:39.889      9.4228674425    Earth           Penumbra    2             2052.4527029
01 Jul 2027 12:41:55.385    01 Jul 2027 12:42:04.708      9.3229453079    Earth           Penumbra    3             2052.4201653
01 Jul 2027 12:42:04.708    01 Jul 2027 13:15:58.382      2033.6742181    Earth           Umbra       3             2052.4201653
01 Jul 2027 13:15:58.382    01 Jul 2027 13:16:07.805      9.4230019720    Earth           Penumbra    3             2052.4201653
01 Jul 2027 14:18:23.381    01 Jul 2027 14:18:32.704      9.3232058804    Earth           Penumbra    4             2052.3880574
01 Jul 2027 14:18:32.704    01 Jul 2027 14:52:26.346      2033.6417166    Earth           Umbra       4             2052.3880574
01 Jul 2027 14:52:26.346    01 Jul 2027 14:52:35.769      9.4231349300    Earth           Penumbra    4             2052.3880574
01 Jul 2027 15:54:51.397    01 Jul 2027 15:55:00.721      9.3234853121    Earth           Penumbra    5             2052.3663259
01 Jul 2027 15:55:00.721    01 Jul 2027 16:28:54.340      2033.6191930    Earth           Umbra       5             2052.3663259
01 Jul 2027 16:28:54.340    01 Jul 2027 16:29:03.764      9.4236475881    Earth           Penumbra    5             2052.3663259
01 Jul 2027 17:31:19.428    01 Jul 2027 17:31:28.752      9.3238920439    Earth           Penumbra    6             2052.3555820
01 Jul 2027 17:31:28.752    01 Jul 2027 18:05:22.359      2033.6072544    Earth           Umbra       6             2052.3555820
01 Jul 2027 18:05:22.359    01 Jul 2027 18:05:31.783      9.4244355918    Earth           Penumbra    6             2052.3555820
01 Jul 2027 19:07:47.458    01 Jul 2027 19:07:56.782      9.3244216754    Earth           Penumbra    7             2052.3414866
01 Jul 2027 19:07:56.782    01 Jul 2027 19:41:50.374      2033.5920419    Earth           Umbra       7             2052.3414866
01 Jul 2027 19:41:50.374    01 Jul 2027 19:41:59.799      9.4250230584    Earth           Penumbra    7             2052.3414866
01 Jul 2027 20:44:15.466    01 Jul 2027 20:44:24.791      9.3248730409    Earth           Penumbra    8             2052.3078307
01 Jul 2027 20:44:24.791    01 Jul 2027 21:18:18.349      2033.5578047    Earth           Umbra       8             2052.3078307
01 Jul 2027 21:18:18.349    01 Jul 2027 21:18:27.774      9.4251528732    Earth           Penumbra    8             2052.3078307
01 Jul 2027 22:20:43.435    01 Jul 2027 22:20:52.760      9.3250229722    Earth           Penumbra    9             2052.2573896
01 Jul 2027 22:20:52.760    01 Jul 2027 22:54:46.267      2033.5073351    Earth           Umbra       9             2052.2573896
01 Jul 2027 22:54:46.267    01 Jul 2027 22:54:55.692      9.4250315451    Earth           Penumbra    9             2052.2573896
01 Jul 2027 23:57:11.354    01 Jul 2027 23:57:20.679      9.3249280471    Earth           Penumbra    10            2052.2105576
01 Jul 2027 23:57:20.679    02 Jul 2027 00:31:14.140      2033.4606046    Earth           Umbra       10            2052.2105576
02 Jul 2027 00:31:14.140    02 Jul 2027 00:31:23.565      9.4250249444    Earth           Penumbra    10            2052.2105576
02 Jul 2027 01:33:39.268    02 Jul 2027 01:33:48.593      9.3248975580    Earth           Penumbra    11            2052.1784733
02 Jul 2027 01:33:48.593    02 Jul 2027 02:07:42.021      2033.4283081    Earth           Umbra       11            2052.1784733
02 Jul 2027 02:07:42.021    02 Jul 2027 02:07:51.446      9.4252676005    Earth           Penumbra    11            2052.1784733
02 Jul 2027 03:10:07.269    02 Jul 2027 03:10:16.594      9.3251015525    Earth           Penumbra    12            2052.1494146
